training...
i=0, error=0.0001
i=1000, error=0.0536
i=2000, error=0.0219
i=3000, error=0.0180
i=4000, error=0.0175
i=5000, error=0.0160
i=6000, error=0.0140
i=7000, error=0.0142
i=8000, error=0.0109
i=9000, error=0.0097
i=10000, error=0.0111
i=11000, error=0.0079
i=12000, error=0.0096
i=13000, error=0.0090
i=14000, error=0.0103
i=15000, error=0.0091
i=16000, error=0.0091
i=17000, error=0.0094
i=18000, error=0.0085
i=19000, error=0.0085
i=20000, error=0.0074
i=21000, error=0.0064
i=22000, error=0.0075
i=23000, error=0.0058
i=24000, error=0.0065
i=25000, error=0.0068
i=26000, error=0.0079
i=27000, error=0.0065
i=28000, error=0.0076
i=29000, error=0.0074
i=30000, error=0.0065
i=31000, error=0.0063
i=32000, error=0.0082
i=33000, error=0.0061
i=34000, error=0.0052
i=35000, error=0.0047
i=36000, error=0.0068
i=37000, error=0.0062
i=38000, error=0.0056
i=39000, error=0.0057
i=40000, error=0.0045
i=41000, error=0.0049
i=42000, error=0.0058
i=43000, error=0.0060
i=44000, error=0.0048
i=45000, error=0.0048
i=46000, error=0.0056
i=47000, error=0.0040
i=48000, error=0.0043
i=49000, error=0.0056
i=50000, error=0.0050
i=51000, error=0.0048
i=52000, error=0.0050
i=53000, error=0.0041
i=54000, error=0.0051
i=55000, error=0.0054
i=56000, error=0.0051
i=57000, error=0.0041
i=58000, error=0.0033
i=59000, error=0.0045
i=60000, error=0.0052
i=61000, error=0.0037
i=62000, error=0.0037
i=63000, error=0.0059
i=64000, error=0.0035
i=65000, error=0.0029
i=66000, error=0.0041
i=67000, error=0.0036
i=68000, error=0.0032
i=69000, error=0.0032
i=70000, error=0.0049
i=71000, error=0.0028
i=72000, error=0.0029
i=73000, error=0.0048
i=74000, error=0.0031
i=75000, error=0.0031
i=76000, error=0.0041
i=77000, error=0.0049
i=78000, error=0.0038
i=79000, error=0.0051
i=80000, error=0.0034
i=81000, error=0.0038
i=82000, error=0.0039
i=83000, error=0.0029
i=84000, error=0.0019
i=85000, error=0.0029
i=86000, error=0.0025
i=87000, error=0.0033
i=88000, error=0.0024
i=89000, error=0.0022
i=90000, error=0.0031
i=91000, error=0.0022
i=92000, error=0.0028
i=93000, error=0.0035
i=94000, error=0.0029
i=95000, error=0.0018
i=96000, error=0.0018
i=97000, error=0.0034
i=98000, error=0.0031
i=99000, error=0.0028
i=100000, error=0.0023
i=101000, error=0.0023
i=102000, error=0.0012
i=103000, error=0.0025
i=104000, error=0.0026
i=105000, error=0.0016
i=106000, error=0.0028
i=107000, error=0.0020
i=108000, error=0.0026
i=109000, error=0.0027
i=110000, error=0.0032
i=111000, error=0.0029
i=112000, error=0.0024
i=113000, error=0.0022
i=114000, error=0.0039
i=115000, error=0.0019
i=116000, error=0.0020
i=117000, error=0.0017
i=118000, error=0.0017
i=119000, error=0.0019
i=120000, error=0.0022
i=121000, error=0.0031
i=122000, error=0.0023
i=123000, error=0.0023
i=124000, error=0.0021
i=125000, error=0.0017
i=126000, error=0.0020
i=127000, error=0.0014
i=128000, error=0.0016
i=129000, error=0.0019
i=130000, error=0.0023
i=131000, error=0.0022
i=132000, error=0.0022
i=133000, error=0.0020
i=134000, error=0.0032
i=135000, error=0.0030
i=136000, error=0.0018
i=137000, error=0.0033
i=138000, error=0.0022
i=139000, error=0.0021
i=140000, error=0.0020
i=141000, error=0.0019
i=142000, error=0.0037
i=143000, error=0.0017
i=144000, error=0.0017
i=145000, error=0.0021
i=146000, error=0.0008
i=147000, error=0.0025
i=148000, error=0.0028
i=149000, error=0.0014
i=150000, error=0.0027
i=151000, error=0.0018
i=152000, error=0.0020
i=153000, error=0.0027
i=154000, error=0.0012
i=155000, error=0.0016
i=156000, error=0.0017
i=157000, error=0.0021
i=158000, error=0.0015
i=159000, error=0.0014
i=160000, error=0.0015
i=161000, error=0.0015
i=162000, error=0.0011
i=163000, error=0.0018
i=164000, error=0.0014
i=165000, error=0.0011
i=166000, error=0.0014
i=167000, error=0.0014
i=168000, error=0.0014
i=169000, error=0.0021
i=170000, error=0.0024
i=171000, error=0.0015
i=172000, error=0.0012
i=173000, error=0.0015
i=174000, error=0.0015
i=175000, error=0.0020
i=176000, error=0.0012
i=177000, error=0.0015
i=178000, error=0.0014
i=179000, error=0.0010
i=180000, error=0.0019
i=181000, error=0.0018
i=182000, error=0.0012
i=183000, error=0.0011
i=184000, error=0.0014
i=185000, error=0.0012
i=186000, error=0.0016
i=187000, error=0.0006
i=188000, error=0.0011
i=189000, error=0.0022
i=190000, error=0.0009
i=191000, error=0.0010
i=192000, error=0.0019
i=193000, error=0.0018
i=194000, error=0.0011
i=195000, error=0.0012
i=196000, error=0.0015
i=197000, error=0.0007
i=198000, error=0.0011
i=199000, error=0.0006
i=200000, error=0.0007
i=201000, error=0.0006
i=202000, error=0.0010
i=203000, error=0.0009
i=204000, error=0.0009
i=205000, error=0.0012
i=206000, error=0.0011
i=207000, error=0.0020
i=208000, error=0.0010
i=209000, error=0.0006
i=210000, error=0.0006
i=211000, error=0.0008
i=212000, error=0.0012
i=213000, error=0.0009
i=214000, error=0.0004
i=215000, error=0.0003
i=216000, error=0.0008
i=217000, error=0.0005
i=218000, error=0.0003
i=219000, error=0.0005
i=220000, error=0.0008
i=221000, error=0.0008
i=222000, error=0.0006
i=223000, error=0.0009
i=224000, error=0.0012
i=225000, error=0.0009
i=226000, error=0.0005
i=227000, error=0.0008
i=228000, error=0.0007
i=229000, error=0.0010
i=230000, error=0.0009
i=231000, error=0.0005
i=232000, error=0.0001
i=233000, error=0.0003
i=234000, error=0.0004
i=235000, error=0.0005
i=236000, error=0.0003
i=237000, error=0.0011
i=238000, error=0.0007
i=239000, error=0.0005
i=240000, error=0.0005
i=241000, error=0.0010
i=242000, error=0.0008
i=243000, error=0.0003
i=244000, error=0.0008
i=245000, error=0.0012
i=246000, error=0.0001
i=247000, error=0.0001
i=248000, error=0.0002
i=249000, error=0.0004
i=250000, error=0.0002
i=251000, error=0.0006
i=252000, error=0.0003
i=253000, error=0.0003
i=254000, error=0.0009
i=255000, error=0.0006
i=256000, error=0.0010
i=257000, error=0.0004
i=258000, error=0.0006
i=259000, error=0.0003
i=260000, error=0.0003
i=261000, error=0.0001
i=262000, error=0.0007
i=263000, error=0.0003
i=264000, error=0.0006
i=265000, error=0.0002
i=266000, error=0.0008
i=267000, error=0.0005
i=268000, error=0.0001
i=269000, error=0.0004
i=270000, error=0.0005
i=271000, error=0.0005
i=272000, error=0.0005
i=273000, error=0.0008
i=274000, error=0.0004
i=275000, error=0.0004
i=276000, error=0.0004
i=277000, error=0.0003
i=278000, error=0.0003
i=279000, error=0.0004
i=280000, error=0.0004
i=281000, error=0.0003
i=282000, error=0.0007
i=283000, error=0.0004
i=284000, error=0.0006
i=285000, error=0.0004
i=286000, error=0.0006
i=287000, error=0.0003
i=288000, error=0.0002
i=289000, error=0.0003
i=290000, error=0.0006
i=291000, error=0.0002
i=292000, error=0.0003
i=293000, error=0.0001
i=294000, error=0.0008
i=295000, error=0.0003
i=296000, error=0.0006
i=297000, error=0.0003
i=298000, error=0.0003
i=299000, error=0.0006
i=300000, error=0.0003
i=301000, error=0.0002
i=302000, error=0.0000
i=303000, error=0.0003
i=304000, error=0.0007
i=305000, error=0.0009
i=306000, error=0.0001
i=307000, error=0.0005
i=308000, error=0.0002
i=309000, error=0.0003
i=310000, error=0.0004
i=311000, error=0.0005
i=312000, error=0.0005
i=313000, error=0.0002
i=314000, error=0.0003
i=315000, error=0.0005
i=316000, error=0.0005
i=317000, error=0.0004
i=318000, error=0.0009
i=319000, error=0.0005
i=320000, error=0.0003
i=321000, error=0.0003
i=322000, error=0.0006
i=323000, error=0.0003
i=324000, error=0.0003
i=325000, error=0.0001
i=326000, error=0.0002
i=327000, error=0.0001
i=328000, error=0.0001
i=329000, error=0.0004
i=330000, error=0.0001
i=331000, error=0.0001
i=332000, error=0.0001
i=333000, error=0.0003
i=334000, error=0.0006
i=335000, error=0.0002
i=336000, error=0.0002
i=337000, error=0.0001
i=338000, error=0.0001
i=339000, error=0.0002
i=340000, error=0.0002
i=341000, error=0.0001
i=342000, error=0.0002
i=343000, error=0.0001
i=344000, error=0.0001
i=345000, error=0.0001
i=346000, error=0.0000
i=347000, error=0.0001
i=348000, error=0.0000
i=349000, error=0.0001
i=350000, error=0.0001
i=351000, error=0.0001
i=352000, error=0.0002
i=353000, error=0.0001
i=354000, error=0.0001
i=355000, error=0.0002
i=356000, error=0.0004
i=357000, error=0.0002
i=358000, error=0.0006
i=359000, error=0.0002
i=360000, error=0.0000
i=361000, error=0.0000
i=362000, error=0.0000
i=363000, error=0.0002
i=364000, error=0.0001
i=365000, error=0.0000
i=366000, error=0.0002
i=367000, error=0.0001
i=368000, error=0.0000
i=369000, error=0.0000
i=370000, error=0.0000
i=371000, error=0.0000
i=372000, error=0.0001
i=373000, error=0.0000
i=374000, error=0.0000
i=375000, error=0.0000
i=376000, error=0.0000
i=377000, error=0.0000
i=378000, error=0.0000
i=379000, error=0.0000
i=380000, error=0.0000
i=381000, error=0.0000
i=382000, error=0.0000
i=383000, error=0.0001
i=384000, error=0.0001
i=385000, error=0.0000
i=386000, error=0.0000
i=387000, error=0.0000
i=388000, error=0.0000
i=389000, error=0.0000
i=390000, error=0.0000
i=391000, error=0.0000
i=392000, error=0.0000
i=393000, error=0.0000
i=394000, error=0.0001
i=395000, error=0.0000
i=396000, error=0.0000
i=397000, error=0.0002
i=398000, error=0.0000
i=399000, error=0.0001
i=400000, error=0.0001
i=401000, error=0.0000
i=402000, error=0.0000
i=403000, error=0.0000
i=404000, error=0.0000
i=405000, error=0.0000
i=406000, error=0.0001
i=407000, error=0.0000
i=408000, error=0.0002
i=409000, error=0.0003
i=410000, error=0.0001
i=411000, error=0.0001
i=412000, error=0.0000
i=413000, error=0.0000
i=414000, error=0.0000
i=415000, error=0.0001
i=416000, error=0.0000
i=417000, error=0.0000
i=418000, error=0.0003
i=419000, error=0.0001
i=420000, error=0.0000
i=421000, error=0.0000
i=422000, error=0.0000
i=423000, error=0.0000
i=424000, error=0.0000
i=425000, error=0.0000
i=426000, error=0.0000
i=427000, error=0.0000
i=428000, error=0.0000
i=429000, error=0.0002
i=430000, error=0.0000
i=431000, error=0.0000
i=432000, error=0.0000
i=433000, error=0.0000
i=434000, error=0.0000
i=435000, error=0.0001
i=436000, error=0.0000
i=437000, error=0.0000
i=438000, error=0.0000
i=439000, error=0.0001
i=440000, error=0.0001
i=441000, error=0.0000
i=442000, error=0.0000
i=443000, error=0.0000
i=444000, error=0.0000
i=445000, error=0.0000
i=446000, error=0.0000
i=447000, error=0.0000
i=448000, error=0.0001
i=449000, error=0.0000
i=450000, error=0.0000
i=451000, error=0.0000
i=452000, error=0.0000
i=453000, error=0.0000
i=454000, error=0.0000
i=455000, error=0.0000
i=456000, error=0.0000
i=457000, error=0.0000
i=458000, error=0.0000
i=459000, error=0.0000
i=460000, error=0.0000
i=461000, error=0.0000
i=462000, error=0.0000
i=463000, error=0.0000
i=464000, error=0.0000
i=465000, error=0.0000
i=466000, error=0.0000
i=467000, error=0.0000
i=468000, error=0.0000
i=469000, error=0.0000
i=470000, error=0.0000
i=471000, error=0.0000
i=472000, error=0.0000
i=473000, error=0.0000
i=474000, error=0.0000
i=475000, error=0.0000
i=476000, error=0.0000
i=477000, error=0.0000
i=478000, error=0.0000
i=479000, error=0.0000
i=480000, error=0.0000
i=481000, error=0.0000
i=482000, error=0.0000
i=483000, error=0.0000
i=484000, error=0.0000
i=485000, error=0.0000
i=486000, error=0.0000
i=487000, error=0.0000
i=488000, error=0.0000
i=489000, error=0.0000
i=490000, error=0.0000
i=491000, error=0.0000
i=492000, error=0.0000
i=493000, error=0.0000
i=494000, error=0.0000
i=495000, error=0.0000
i=496000, error=0.0000
i=497000, error=0.0000
i=498000, error=0.0000
i=499000, error=0.0000
i=500000, error=0.0000
i=501000, error=0.0000
i=502000, error=0.0000
i=503000, error=0.0000
i=504000, error=0.0000
i=505000, error=0.0000
i=506000, error=0.0000
i=507000, error=0.0000
i=508000, error=0.0000
i=509000, error=0.0000
i=510000, error=0.0000
i=511000, error=0.0000
i=512000, error=0.0000
i=513000, error=0.0000
i=514000, error=0.0000
i=515000, error=0.0000
i=516000, error=0.0000
i=517000, error=0.0000
i=518000, error=0.0000
i=519000, error=0.0000
i=520000, error=0.0000
i=521000, error=0.0000
i=522000, error=0.0000
i=523000, error=0.0000
i=524000, error=0.0000
i=525000, error=0.0000
i=526000, error=0.0000
i=527000, error=0.0000
i=528000, error=0.0000
i=529000, error=0.0000
i=530000, error=0.0000
i=531000, error=0.0000
i=532000, error=0.0000
i=533000, error=0.0000
i=534000, error=0.0000
i=535000, error=0.0000
i=536000, error=0.0000
i=537000, error=0.0000
i=538000, error=0.0000
i=539000, error=0.0000
i=540000, error=0.0000
i=541000, error=0.0000
i=542000, error=0.0000
i=543000, error=0.0000
i=544000, error=0.0000
i=545000, error=0.0000
i=546000, error=0.0000
i=547000, error=0.0000
i=548000, error=0.0000
i=549000, error=0.0000
i=550000, error=0.0000
i=551000, error=0.0000
i=552000, error=0.0000
i=553000, error=0.0000
i=554000, error=0.0000
i=555000, error=0.0000
i=556000, error=0.0000
i=557000, error=0.0000
i=558000, error=0.0000
i=559000, error=0.0000
i=560000, error=0.0000
i=561000, error=0.0000
i=562000, error=0.0000
i=563000, error=0.0000
i=564000, error=0.0000
i=565000, error=0.0000
i=566000, error=0.0000
i=567000, error=0.0000
i=568000, error=0.0000
i=569000, error=0.0000
i=570000, error=0.0000
i=571000, error=0.0000
i=572000, error=0.0000
i=573000, error=0.0000
i=574000, error=0.0000
i=575000, error=0.0000
i=576000, error=0.0000
i=577000, error=0.0000
i=578000, error=0.0000
i=579000, error=0.0000
i=580000, error=0.0000
i=581000, error=0.0000
i=582000, error=0.0000
i=583000, error=0.0000
i=584000, error=0.0000
i=585000, error=0.0000
i=586000, error=0.0000
i=587000, error=0.0000
i=588000, error=0.0000
i=589000, error=0.0000
i=590000, error=0.0000
i=591000, error=0.0000
i=592000, error=0.0000
i=593000, error=0.0000
i=594000, error=0.0000
i=595000, error=0.0000
i=596000, error=0.0000
i=597000, error=0.0000
i=598000, error=0.0000
i=599000, error=0.0000
testing...
i=0
i=1000
i=2000
i=3000
i=4000
i=5000
i=6000
i=7000
i=8000
i=9000
ntests=10000, ncorrect=9816
